,Date,R,Casa v Visitante,-
26,04/09 07:54,-,Bayern (bombi1t0) EsportsvDortmund (Jkey) Esports,1-1
27,04/09 07:48,-,Liverpool (vrico) EsportsvArsenal (orlovsky1) Esports,1-0
28,04/09 07:48,-,Man City (Boulevard_Prospect) EsportsvMan United (DangerDim77) Esports,0-0
29,04/09 07:42,-,Dortmund (Jkey) EsportsvBorussia M'gladbach (KravaRK) Esports,1-1
0,04/09 11:06,-,Real Madrid (vrico) EsportsvTottenham (DangerDim77) Esports,1-1
1,04/09 11:00,-,Arsenal (Inquisitor) EsportsvTottenham (Chellovekk) Esports,1-3
2,04/09 11:00,-,Man City (mooneycb) EsportsvLiverpool (Olle) Esports,0-4
3,04/09 10:54,-,Bayern (nikkitta) EsportsvReal Madrid (vrico) Esports,0-0
4,04/09 10:54,-,Tottenham (DangerDim77) EsportsvNapoli (orlovsky1) Esports,0-1
5,04/09 10:48,-,Man United (Pablik) EsportsvTottenham (Chellovekk) Esports,1-1
6,04/09 10:48,-,Arsenal (Inquisitor) EsportsvLiverpool (Olle) Esports,1-1
7,04/09 10:42,-,Napoli (orlovsky1) EsportsvBayern (nikkitta) Esports,2-2
8,04/09 10:42,-,Real Madrid (vrico) EsportsvPSG (Boulevard_Prospect) Esports,1-2
9,04/09 10:36,-,Liverpool (Olle) EsportsvMan United (Pablik) Esports,1-1
10,04/09 10:36,-,Man City (mooneycb) EsportsvArsenal (Inquisitor) Esports,2-0
11,04/09 10:30,-,Bayern (nikkitta) EsportsvTottenham (DangerDim77) Esports,2-1
12,04/09 10:30,-,PSG (Boulevard_Prospect) EsportsvNapoli (orlovsky1) Esports,0-1
13,04/09 10:24,-,Man United (Pablik) EsportsvMan City (mooneycb) Esports,1-1
14,04/09 10:24,-,Tottenham (Chellovekk) EsportsvLiverpool (Olle) Esports,0-0
15,04/09 10:18,-,Tottenham (DangerDim77) EsportsvPSG (Boulevard_Prospect) Esports,3-2
16,04/09 10:18,-,Real Madrid (vrico) EsportsvNapoli (orlovsky1) Esports,0-2
17,04/09 10:12,-,Arsenal (Inquisitor) EsportsvMan United (Pablik) Esports,0-0
18,04/09 10:12,-,Man City (mooneycb) EsportsvTottenham (Chellovekk) Esports,1-1
19,04/09 10:06,-,Bayern (nikkitta) EsportsvPSG (Boulevard_Prospect) Esports,0-1
20,04/09 10:06,-,Real Madrid (vrico) EsportsvTottenham (DangerDim77) Esports,2-1
21,04/09 10:00,-,Liverpool (Olle) EsportsvMan City (mooneycb) Esports,0-2
22,04/09 10:00,-,Tottenham (Chellovekk) EsportsvArsenal (Inquisitor) Esports,3-0
23,04/09 09:54,-,Napoli (orlovsky1) EsportsvTottenham (DangerDim77) Esports,4-2
24,04/09 09:54,-,Real Madrid (vrico) EsportsvBayern (nikkitta) Esports,0-0
25,04/09 09:42,-,PSG (Boulevard_Prospect) EsportsvReal Madrid (vrico) Esports,0-0
26,04/09 09:42,-,Bayern (nikkitta) EsportsvNapoli (orlovsky1) Esports,1-2
27,04/09 09:30,-,Tottenham (DangerDim77) EsportsvBayern (nikkitta) Esports,0-1
28,04/09 09:30,-,Napoli (orlovsky1) EsportsvPSG (Boulevard_Prospect) Esports,2-1
29,04/09 09:20,-,PSG (Boulevard_Prospect) EsportsvTottenham (DangerDim77) Esports,2-3
0,04/09 12:36,-,Portugal (mooneycb) EsportsvBrazil (Inquisitor) Esports,0-0
1,04/09 12:30,-,Portugal (Boulevard_Prospect) EsportsvItaly (orlovsky1) Esports,1-2
2,04/09 12:30,-,Netherlands (nikkitta) EsportsvEngland (DangerDim77) Esports,1-0
3,04/09 12:24,-,Belgium (Pablik) EsportsvPortugal (mooneycb) Esports,1-1
4,04/09 12:24,-,Germany (Chellovekk) EsportsvSpain (Olle) Esports,1-0
5,04/09 12:18,-,Portugal (Boulevard_Prospect) EsportsvEngland (DangerDim77) Esports,1-2
6,04/09 12:18,-,Spain (vrico) EsportsvItaly (orlovsky1) Esports,0-3
7,04/09 12:12,-,Portugal (mooneycb) EsportsvGermany (Chellovekk) Esports,0-1
8,04/09 12:12,-,Brazil (Inquisitor) EsportsvBelgium (Pablik) Esports,0-1
9,04/09 12:06,-,England (DangerDim77) EsportsvSpain (vrico) Esports,3-0
10,04/09 12:06,-,Netherlands (nikkitta) EsportsvPortugal (Boulevard_Prospect) Esports,1-1
11,04/09 12:00,-,Germany (Chellovekk) EsportsvBrazil (Inquisitor) Esports,0-0
12,04/09 12:00,-,Spain (Olle) EsportsvPortugal (mooneycb) Esports,1-1
13,04/09 11:54,-,Spain (vrico) EsportsvNetherlands (nikkitta) Esports,1-1
14,04/09 11:54,-,Italy (orlovsky1) EsportsvEngland (DangerDim77) Esports,0-5
15,04/09 11:48,-,Liverpool (Olle) EsportsvArsenal (Inquisitor) Esports,1-1
16,04/09 11:48,-,Tottenham (Chellovekk) EsportsvMan United (Pablik) Esports,0-0
17,04/09 11:42,-,Portugal (Boulevard_Prospect) EsportsvSpain (vrico) Esports,1-1
18,04/09 11:42,-,Netherlands (nikkitta) EsportsvItaly (orlovsky1) Esports,2-0
19,04/09 11:36,-,Man United (Pablik) EsportsvLiverpool (Olle) Esports,1-1
20,04/09 11:36,-,Arsenal (Inquisitor) EsportsvMan City (mooneycb) Esports,0-0
21,04/09 11:30,-,England (DangerDim77) EsportsvNetherlands (nikkitta) Esports,5-0
22,04/09 11:30,-,Italy (orlovsky1) EsportsvPortugal (Boulevard_Prospect) Esports,0-1
23,04/09 11:24,-,Man City (mooneycb) EsportsvMan United (Pablik) Esports,1-1
24,04/09 11:24,-,Liverpool (Olle) EsportsvTottenham (Chellovekk) Esports,2-1
25,04/09 11:18,-,Tottenham (DangerDim77) EsportsvPSG (Boulevard_Prospect) Esports,4-1
26,04/09 11:18,-,Napoli (orlovsky1) EsportsvReal Madrid (vrico) Esports,2-3
27,04/09 11:12,-,Tottenham (Chellovekk) EsportsvMan City (mooneycb) Esports,0-3
28,04/09 11:12,-,Man United (Pablik) EsportsvArsenal (Inquisitor) Esports,0-0
29,04/09 11:06,-,PSG (Boulevard_Prospect) EsportsvBayern (nikkitta) Esports,0-0
0,04/09 14:36,-,Napoli (Flewless_phoenix) EsportsvPSG (Kalibra) Esports,0-1
1,04/09 14:30,-,Leverkusen (Chellovekk) EsportsvPorto (Inquisitor) Esports,1-0
2,04/09 14:30,-,Man United (Olle) EsportsvValencia (mooneycb) Esports,0-0
3,04/09 14:24,-,Bayern (PASHOK75) EsportsvNapoli (Flewless_phoenix) Esports,2-1
4,04/09 14:24,-,Real Madrid (taka) EsportsvTottenham (FEARGGWP) Esports,1-3
5,04/09 14:12,-,PSG (Kalibra) EsportsvBayern (PASHOK75) Esports,2-0
6,04/09 14:12,-,Napoli (Flewless_phoenix) EsportsvReal Madrid (taka) Esports,0-0
7,04/09 14:00,-,Tottenham (FEARGGWP) EsportsvNapoli (Flewless_phoenix) Esports,0-0
8,04/09 14:00,-,Real Madrid (taka) EsportsvPSG (Kalibra) Esports,2-2
9,04/09 13:48,-,Spain (Olle) EsportsvBrazil (Inquisitor) Esports,1-1
10,04/09 13:48,-,Germany (Chellovekk) EsportsvBelgium (Pablik) Esports,4-2
11,04/09 13:36,-,Belgium (Pablik) EsportsvSpain (Olle) Esports,1-1
12,04/09 13:36,-,Brazil (Inquisitor) EsportsvPortugal (mooneycb) Esports,1-2
13,04/09 13:24,-,Portugal (mooneycb) EsportsvBelgium (Pablik) Esports,3-0
14,04/09 13:24,-,Spain (Olle) EsportsvGermany (Chellovekk) Esports,0-4
15,04/09 13:18,-,Italy (orlovsky1) EsportsvSpain (vrico) Esports,0-3
16,04/09 13:18,-,England (DangerDim77) EsportsvPortugal (Boulevard_Prospect) Esports,0-1
17,04/09 13:12,-,Germany (Chellovekk) EsportsvPortugal (mooneycb) Esports,1-2
18,04/09 13:12,-,Belgium (Pablik) EsportsvBrazil (Inquisitor) Esports,3-0
19,04/09 13:06,-,Portugal (Boulevard_Prospect) EsportsvNetherlands (nikkitta) Esports,0-0
20,04/09 13:06,-,Spain (vrico) EsportsvEngland (DangerDim77) Esports,0-1
21,04/09 13:00,-,Brazil (Inquisitor) EsportsvGermany (Chellovekk) Esports,0-1
22,04/09 13:00,-,Portugal (mooneycb) EsportsvSpain (Olle) Esports,0-2
23,04/09 12:54,-,Netherlands (nikkitta) EsportsvSpain (vrico) Esports,0-0
24,04/09 12:54,-,England (DangerDim77) EsportsvItaly (orlovsky1) Esports,0-0
25,04/09 12:48,-,Brazil (Inquisitor) EsportsvSpain (Olle) Esports,0-1
26,04/09 12:48,-,Belgium (Pablik) EsportsvGermany (Chellovekk) Esports,0-2
27,04/09 12:42,-,Italy (orlovsky1) EsportsvNetherlands (nikkitta) Esports,1-1
28,04/09 12:42,-,Spain (vrico) EsportsvPortugal (Boulevard_Prospect) Esports,2-1
29,04/09 12:36,-,Spain (Olle) EsportsvBelgium (Pablik) Esports,1-1
0,04/09 16:06,-,Ajax (Pablik) EsportsvMan United (Olle) Esports,1-1
1,04/09 16:00,-,Liverpool (taka) EsportsvArsenal (kalibra) Esports,2-2
2,04/09 16:00,-,Man City (FEARGGWP) EsportsvTottenham (Flewless_phoenix) Esports,2-0
3,04/09 15:54,-,Valencia (mooneycb) EsportsvAjax (Pablik) Esports,4-0
4,04/09 15:54,-,Man United (Olle) EsportsvLeverkusen (Chellovekk) Esports,2-2
5,04/09 15:48,-,Tottenham (FEARGGWP) EsportsvPSG (Kalibra) Esports,1-3
6,04/09 15:48,-,Real Madrid (taka) EsportsvBayern (PASHOK75) Esports,0-1
7,04/09 15:42,-,Ajax (Pablik) EsportsvPorto (Inquisitor) Esports,2-1
8,04/09 15:42,-,Leverkusen (Chellovekk) EsportsvValencia (mooneycb) Esports,1-2
9,04/09 15:36,-,Bayern (PASHOK75) EsportsvTottenham (FEARGGWP) Esports,3-0
10,04/09 15:36,-,PSG (Kalibra) EsportsvNapoli (Flewless_phoenix) Esports,4-0
11,04/09 15:30,-,Porto (Inquisitor) EsportsvLeverkusen (Chellovekk) Esports,2-1
12,04/09 15:30,-,Valencia (mooneycb) EsportsvMan United (Olle) Esports,0-1
13,04/09 15:24,-,Napoli (Flewless_phoenix) EsportsvBayern (PASHOK75) Esports,0-1
14,04/09 15:24,-,Tottenham (FEARGGWP) EsportsvReal Madrid (taka) Esports,2-0
15,04/09 15:18,-,Porto (Inquisitor) EsportsvMan United (Olle) Esports,1-0
16,04/09 15:18,-,Ajax (Pablik) EsportsvLeverkusen (Chellovekk) Esports,1-1
17,04/09 15:12,-,Real Madrid (taka) EsportsvNapoli (Flewless_phoenix) Esports,1-0
18,04/09 15:12,-,Bayern (PASHOK75) EsportsvPSG (Kalibra) Esports,0-1
19,04/09 15:06,-,Valencia (mooneycb) EsportsvPorto (Inquisitor) Esports,0-0
20,04/09 15:06,-,Man United (Olle) EsportsvAjax (Pablik) Esports,1-1
21,04/09 15:00,-,PSG (Kalibra) EsportsvReal Madrid (taka) Esports,3-0
22,04/09 15:00,-,Napoli (Flewless_phoenix) EsportsvTottenham (FEARGGWP) Esports,0-0
23,04/09 14:54,-,Leverkusen (Chellovekk) EsportsvMan United (Olle) Esports,0-0
24,04/09 14:54,-,Ajax (Pablik) EsportsvValencia (mooneycb) Esports,0-0
25,04/09 14:48,-,PSG (Kalibra) EsportsvTottenham (FEARGGWP) Esports,1-1
26,04/09 14:48,-,Bayern (PASHOK75) EsportsvReal Madrid (taka) Esports,3-1
27,04/09 14:42,-,Porto (Inquisitor) EsportsvAjax (Pablik) Esports,3-0
28,04/09 14:42,-,Valencia (mooneycb) EsportsvLeverkusen (Chellovekk) Esports,0-1
29,04/09 14:36,-,Tottenham (FEARGGWP) EsportsvBayern (PASHOK75) Esports,2-1
0,04/09 17:36,-,Man United (PASHOK75) EsportsvMan City (FEARGGWP) Esports,1-1
1,04/09 17:30,-,Liverpool (mooneycb) EsportsvPSG (Olle) Esports,2-0
2,04/09 17:30,-,Real Madrid (Inquisitor) EsportsvBarcelona (Chellovekk) Esports,0-1
3,04/09 17:24,-,Tottenham (Flewless_phoenix) EsportsvMan United (PASHOK75) Esports,0-0
4,04/09 17:24,-,Man City (FEARGGWP) EsportsvLiverpool (taka) Esports,2-0
5,04/09 17:18,-,Man City (Pablik) EsportsvBarcelona (Chellovekk) Esports,1-0
6,04/09 17:18,-,Real Madrid (Inquisitor) EsportsvPSG (Olle) Esports,2-1
7,04/09 17:12,-,Man United (PASHOK75) EsportsvArsenal (kalibra) Esports,0-2
8,04/09 17:12,-,Liverpool (taka) EsportsvTottenham (Flewless_phoenix) Esports,0-0
9,04/09 17:06,-,Liverpool (mooneycb) EsportsvReal Madrid (Inquisitor) Esports,2-0
10,04/09 17:06,-,PSG (Olle) EsportsvMan City (Pablik) Esports,0-0
11,04/09 17:00,-,Arsenal (kalibra) EsportsvLiverpool (taka) Esports,3-0
12,04/09 17:00,-,Tottenham (Flewless_phoenix) EsportsvMan City (FEARGGWP) Esports,3-1
13,04/09 16:54,-,Barcelona (Chellovekk) EsportsvPSG (Olle) Esports,2-0
14,04/09 16:54,-,Man City (Pablik) EsportsvLiverpool (mooneycb) Esports,2-1
15,04/09 16:48,-,Arsenal (kalibra) EsportsvMan City (FEARGGWP) Esports,0-0
16,04/09 16:48,-,Man United (PASHOK75) EsportsvLiverpool (taka) Esports,2-0
17,04/09 16:42,-,Real Madrid (Inquisitor) EsportsvMan City (Pablik) Esports,0-1
18,04/09 16:42,-,Liverpool (mooneycb) EsportsvBarcelona (Chellovekk) Esports,0-2
19,04/09 16:36,-,Tottenham (Flewless_phoenix) EsportsvArsenal (kalibra) Esports,1-0
20,04/09 16:36,-,Man City (FEARGGWP) EsportsvMan United (PASHOK75) Esports,0-0
21,04/09 16:30,-,PSG (Olle) EsportsvLiverpool (mooneycb) Esports,1-2
22,04/09 16:30,-,Barcelona (Chellovekk) EsportsvReal Madrid (Inquisitor) Esports,1-0
23,04/09 16:24,-,Man United (PASHOK75) EsportsvTottenham (Flewless_phoenix) Esports,1-0
24,04/09 16:24,-,Liverpool (taka) EsportsvMan City (FEARGGWP) Esports,0-3
25,04/09 16:18,-,Man United (Olle) EsportsvPorto (Inquisitor) Esports,2-2
26,04/09 16:18,-,Leverkusen (Chellovekk) EsportsvAjax (Pablik) Esports,0-2
27,04/09 16:12,-,Arsenal (kalibra) EsportsvMan United (PASHOK75) Esports,1-1
28,04/09 16:12,-,Tottenham (Flewless_phoenix) EsportsvLiverpool (taka) Esports,2-2
29,04/09 16:06,-,Porto (Inquisitor) EsportsvValencia (mooneycb) Esports,0-0
0,04/09 20:06,-,Ajax (PASHOK75) EsportsvInter (FEARGGWP) Esports,0-0
1,04/09 20:06,-,Atletico Madrid (kalibra) EsportsvChelsea (Flewless_phoenix) Esports,0-1
2,04/09 19:54,-,Chelsea (Flewless_phoenix) EsportsvAjax (PASHOK75) Esports,1-0
3,04/09 19:54,-,Inter (FEARGGWP) EsportsvDortmund (taka) Esports,1-4
4,04/09 19:42,-,Dortmund (taka) EsportsvChelsea (Flewless_phoenix) Esports,1-2
5,04/09 19:42,-,Ajax (PASHOK75) EsportsvAtletico Madrid (kalibra) Esports,1-2
6,04/09 19:30,-,Atletico Madrid (kalibra) EsportsvDortmund (taka) Esports,1-1
7,04/09 19:30,-,Chelsea (Flewless_phoenix) EsportsvInter (FEARGGWP) Esports,0-0
8,04/09 19:18,-,Ajax (PASHOK75) EsportsvDortmund (taka) Esports,1-2
9,04/09 19:18,-,Atletico Madrid (kalibra) EsportsvInter (FEARGGWP) Esports,1-1
10,04/09 19:06,-,Chelsea (Flewless_phoenix) EsportsvAtletico Madrid (kalibra) Esports,2-2
11,04/09 19:06,-,Inter (FEARGGWP) EsportsvAjax (PASHOK75) Esports,1-1
12,04/09 18:54,-,Ajax (PASHOK75) EsportsvChelsea (Flewless_phoenix) Esports,2-2
13,04/09 18:54,-,Dortmund (taka) EsportsvInter (FEARGGWP) Esports,1-3
14,04/09 18:42,-,Chelsea (Flewless_phoenix) EsportsvDortmund (taka) Esports,4-1
15,04/09 18:42,-,Atletico Madrid (kalibra) EsportsvAjax (PASHOK75) Esports,4-0
16,04/09 18:30,-,Dortmund (taka) EsportsvAtletico Madrid (kalibra) Esports,0-1
17,04/09 18:30,-,Inter (FEARGGWP) EsportsvChelsea (Flewless_phoenix) Esports,0-1
18,04/09 18:18,-,PSG (Olle) EsportsvReal Madrid (Inquisitor) Esports,2-3
19,04/09 18:18,-,Barcelona (Chellovekk) EsportsvMan City (Pablik) Esports,0-0
20,04/09 18:09,-,Chelsea (Flewless_phoenix) EsportsvAtletico Madrid (kalibra) Esports,2-2
21,04/09 18:06,-,Real Madrid (Inquisitor) EsportsvLiverpool (mooneycb) Esports,1-3
22,04/09 18:06,-,Man City (Pablik) EsportsvPSG (Olle) Esports,0-2
23,04/09 17:54,-,PSG (Olle) EsportsvBarcelona (Chellovekk) Esports,1-1
24,04/09 17:54,-,Liverpool (mooneycb) EsportsvMan City (Pablik) Esports,0-1
25,04/09 17:48,-,Man City (FEARGGWP) EsportsvArsenal (kalibra) Esports,0-1
26,04/09 17:48,-,Liverpool (taka) EsportsvMan United (PASHOK75) Esports,0-0
27,04/09 17:42,-,Man City (Pablik) EsportsvReal Madrid (Inquisitor) Esports,0-0
28,04/09 17:42,-,Barcelona (Chellovekk) EsportsvLiverpool (mooneycb) Esports,3-2
29,04/09 17:36,-,Arsenal (kalibra) EsportsvTottenham (Flewless_phoenix) Esports,0-2
0,04/09 21:42,-,Tottenham (MeLToSiK) EsportsvMan City (Upcake22) Esports,0-1
1,04/09 21:42,-,Man Utd (Kray) EsportsvLiverpool (KRaftVK) Esports,0-0
2,04/09 21:42,-,France (TAKA) EsportsvGermany (Flewless_phoenix) Esports,1-5
3,04/09 21:30,-,Portugal (kalibra) EsportsvFrance (TAKA) Esports,4-1
4,04/09 21:30,-,Man City (Upcake22) EsportsvArsenal (labotryas) Esports,3-1
5,04/09 21:30,-,Liverpool (KRaftVK) EsportsvTottenham (MeLToSiK) Esports,2-1
6,04/09 21:30,-,Germany (Flewless_phoenix) EsportsvBelgium (FEARGGWP) Esports,1-1
7,04/09 21:18,-,Portugal (kalibra) EsportsvBelgium (FEARGGWP) Esports,1-2
8,04/09 21:18,-,Spain (PASHOK75) EsportsvFrance (TAKA) Esports,2-2
9,04/09 21:18,-,Liverpool (KRaftVK) EsportsvArsenal (labotryas) Esports,2-0
10,04/09 21:18,-,Man Utd (Kray) EsportsvTottenham (MeLToSiK) Esports,3-0
11,04/09 21:06,-,Man City (Upcake22) EsportsvLiverpool (KRaftVK) Esports,0-1
12,04/09 21:06,-,Belgium (FEARGGWP) EsportsvSpain (PASHOK75) Esports,2-0
13,04/09 21:06,-,Germany (Flewless_phoenix) EsportsvPortugal (kalibra) Esports,0-1
14,04/09 21:06,-,Arsenal (labotryas) EsportsvMan Utd (Kray) Esports,0-1
15,04/09 20:54,-,Tottenham (MeLToSiK) EsportsvArsenal (labotryas) Esports,1-0
16,04/09 20:54,-,Spain (PASHOK75) EsportsvGermany (Flewless_phoenix) Esports,0-0
17,04/09 20:54,-,Man Utd (Kray) EsportsvMan City (Upcake22) Esports,1-0
18,04/09 20:54,-,France (TAKA) EsportsvBelgium (FEARGGWP) Esports,0-1
19,04/09 20:42,-,Man City (Upcake22) EsportsvTottenham (MeLToSiK) Esports,0-0
20,04/09 20:42,-,Portugal (kalibra) EsportsvSpain (PASHOK75) Esports,0-0
21,04/09 20:42,-,Liverpool (KRaftVK) EsportsvMan Utd (Kray) Esports,3-0
22,04/09 20:42,-,Germany (Flewless_phoenix) EsportsvFrance (TAKA) Esports,0-0
23,04/09 20:30,-,France (TAKA) EsportsvPortugal (kalibra) Esports,0-1
24,04/09 20:30,-,Arsenal (labotryas) EsportsvMan City (Upcake22) Esports,2-0
25,04/09 20:30,-,Tottenham (MeLToSiK) EsportsvLiverpool (KRaftVK) Esports,2-3
26,04/09 20:30,-,Belgium (FEARGGWP) EsportsvGermany (Flewless_phoenix) Esports,1-1
27,04/09 20:27,-,Tottenham (MeLToSiK) EsportsvArsenal (labotryas) Esports,1-0
28,04/09 20:18,-,Inter (FEARGGWP) EsportsvAtletico Madrid (kalibra) Esports,1-0
29,04/09 20:18,-,Dortmund (taka) EsportsvAjax (PASHOK75) Esports,1-0
0,04/09 23:30,-,Bayern (KRaftVK) EsportsvNapoli (MeLToSiK) Esports,3-0
1,04/09 23:30,-,PSG (Upcake22) EsportsvTottenham (labotryas) Esports,2-1
2,04/09 23:30,-,Bayern(KRaftVK) EsportsvNapoli (MeLToSiK) Esports,3-0
3,04/09 23:18,-,Real Madrid (Kray) EsportsvNapoli (MeLToSiK) Esports,1-2
4,04/09 23:18,-,Bayern(KRaftVK) EsportsvTottenham (labotryas) Esports,2-1
5,04/09 23:16,-,Bayern (KRaftVK) EsportsvTottenham (labotryas) Esports,2-1
6,04/09 23:06,-,PSG (Upcake22) EsportsvBayern (KRaftVK) Esports,1-0
7,04/09 23:06,-,Tottenham (labotryas) EsportsvReal Madrid (Kray) Esports,4-3
8,04/09 23:06,-,PSG (Upcake22) EsportsvBayern(KRaftVK) Esports,1-0
9,04/09 22:54,-,Real Madrid (Kray) EsportsvPSG (Upcake22) Esports,1-0
10,04/09 22:54,-,Napoli (MeLToSiK) EsportsvTottenham (labotryas) Esports,0-2
11,04/09 22:42,-,Bayern(KRaftVK) EsportsvReal Madrid (Kray) Esports,1-2
12,04/09 22:42,-,PSG (Upcake22) EsportsvNapoli (MeLToSiK) Esports,1-4
13,04/09 22:39,-,Bayern (KRaftVK) EsportsvReal Madrid (Kray) Esports,1-2
14,04/09 22:30,-,Tottenham (labotryas) EsportsvPSG (Upcake22) Esports,3-0
15,04/09 22:30,-,Napoli (MeLToSiK) EsportsvBayern(KRaftVK) Esports,0-2
16,04/09 22:28,-,Napoli (MeLToSiK) EsportsvBayern (KRaftVK) Esports,0-2
17,04/09 22:18,-,Belgium (FEARGGWP) EsportsvPortugal (kalibra) Esports,0-1
18,04/09 22:18,-,France (TAKA) EsportsvSpain (PASHOK75) Esports,1-1
19,04/09 22:18,-,Arsenal (labotryas) EsportsvLiverpool (KRaftVK) Esports,5-0
20,04/09 22:18,-,Tottenham (MeLToSiK) EsportsvMan Utd (Kray) Esports,1-0
21,04/09 22:06,-,Portugal (kalibra) EsportsvGermany (Flewless_phoenix) Esports,2-0
22,04/09 22:06,-,Man Utd (Kray) EsportsvArsenal (labotryas) Esports,2-2
23,04/09 22:06,-,Spain (PASHOK75) EsportsvBelgium (FEARGGWP) Esports,2-2
24,04/09 22:06,-,Liverpool (KRaftVK) EsportsvMan City (Upcake22) Esports,1-2
25,04/09 21:54,-,Germany (Flewless_phoenix) EsportsvSpain (PASHOK75) Esports,0-0
26,04/09 21:54,-,Man City (Upcake22) EsportsvMan Utd (Kray) Esports,1-3
27,04/09 21:54,-,Belgium (FEARGGWP) EsportsvFrance (TAKA) Esports,1-2
28,04/09 21:54,-,Arsenal (labotryas) EsportsvTottenham (MeLToSiK) Esports,3-1
29,04/09 21:42,-,Spain (PASHOK75) EsportsvPortugal (kalibra) Esports,2-0
0,04/10 02:48,-,Inter (labotryas) EsportsvDortmund (KRaftVK) Esports,0-0
1,04/10 02:36,-,Chelsea (Kray) EsportsvInter (labotryas) Esports,0-1
2,04/10 02:36,-,Dortmund (KRaftVK) EsportsvAjax (Upcake22) Esports,0-0
3,04/10 02:24,-,Ajax (Upcake22) EsportsvChelsea (Kray) Esports,0-0
4,04/10 02:24,-,Inter (labotryas) EsportsvAtletico Madrid (MeLToSiK) Esports,1-1
5,04/10 02:12,-,Atletico Madrid (MeLToSiK) EsportsvAjax (Upcake22) Esports,2-0
6,04/10 02:12,-,Chelsea (Kray) EsportsvDortmund (KRaftVK) Esports,0-0
7,04/10 02:00,-,Dortmund (KRaftVK) EsportsvAtletico Madrid (MeLToSiK) Esports,1-0
8,04/10 02:00,-,Ajax (Upcake22) EsportsvInter (labotryas) Esports,2-0
9,04/10 01:48,-,Dortmund (KRaftVK) EsportsvInter (labotryas) Esports,0-0
10,04/10 01:48,-,Chelsea (Kray) EsportsvAtletico Madrid (MeLToSiK) Esports,0-0
11,04/10 01:36,-,Inter (labotryas) EsportsvChelsea (Kray) Esports,0-1
12,04/10 01:36,-,Ajax (Upcake22) EsportsvDortmund (KRaftVK) Esports,0-0
13,04/10 01:24,-,Chelsea (Kray) EsportsvAjax (Upcake22) Esports,0-0
14,04/10 01:24,-,Atletico Madrid (MeLToSiK) EsportsvInter (labotryas) Esports,0-3
15,04/10 01:12,-,Dortmund (KRaftVK) EsportsvChelsea (Kray) Esports,1-1
16,04/10 01:12,-,Ajax (Upcake22) EsportsvAtletico Madrid (MeLToSiK) Esports,1-1
17,04/10 01:00,-,Atletico Madrid (MeLToSiK) EsportsvDortmund (KRaftVK) Esports,1-0
18,04/10 01:00,-,Inter (labotryas) EsportsvAjax (Upcake22) Esports,3-0
19,04/10 00:18,-,Napoli (MeLToSiK) EsportsvReal Madrid (Kray) Esports,1-0
20,04/10 00:18,-,Tottenham (labotryas) EsportsvBayern(KRaftVK) Esports,3-1
21,04/10 00:15,-,Tottenham (labotryas) EsportsvBayern (KRaftVK) Esports,3-1
22,04/10 00:06,-,Bayern (KRaftVK) EsportsvPSG (Upcake22) Esports,1-2
23,04/10 00:06,-,Real Madrid (Kray) EsportsvTottenham (labotryas) Esports,0-2
24,04/10 00:06,-,Bayern(KRaftVK) EsportsvPSG (Upcake22) Esports,1-2
25,04/09 23:54,-,PSG (Upcake22) EsportsvReal Madrid (Kray) Esports,1-1
26,04/09 23:54,-,Tottenham (labotryas) EsportsvNapoli (MeLToSiK) Esports,2-0
27,04/09 23:42,-,Real Madrid (Kray) EsportsvBayern (KRaftVK) Esports,1-0
28,04/09 23:42,-,Napoli (MeLToSiK) EsportsvPSG (Upcake22) Esports,0-1
29,04/09 23:42,-,Real Madrid (Kray) EsportsvBayern(KRaftVK) Esports,1-0
0,04/10 05:36,-,Real Madrid (vrico) EsportsvBarcelona (Hrusch) Esports,0-2
1,04/10 05:30,-,Dynamo Kyiv (KravaRK) EsportsvCSKA Moscow (Mr.Jab) Esports,1-0
2,04/10 05:30,-,Loko Moscow (Kodak) EsportsvSh Donetsk (Jkey) Esports,1-1
3,04/10 05:24,-,Man City (orlovsky1) EsportsvReal Madrid (vrico) Esports,1-0
4,04/10 05:24,-,Barcelona (Hrusch) EsportsvPSG (nikkitta) Esports,1-2
5,04/10 05:12,-,Liverpool (Boulevard_Prospect) EsportsvBarcelona (Hrusch) Esports,0-0
6,04/10 05:12,-,PSG (nikkitta) EsportsvMan City (orlovsky1) Esports,1-0
7,04/10 05:00,-,Real Madrid (vrico) EsportsvPSG (nikkitta) Esports,1-2
8,04/10 05:00,-,Man City (orlovsky1) EsportsvLiverpool (Boulevard_Prospect) Esports,1-2
9,04/10 04:48,-,Portugal (MeLToSiK) EsportsvFrance (Kray) Esports,1-0
10,04/10 04:48,-,Spain (labotryas) EsportsvBelgium (KRaftVK) Esports,2-0
11,04/10 04:36,-,Belgium (KRaftVK) EsportsvGermany (Upcake22) Esports,1-2
12,04/10 04:36,-,France (Kray) EsportsvSpain (labotryas) Esports,1-1
13,04/10 04:24,-,Spain (labotryas) EsportsvPortugal (MeLToSiK) Esports,0-2
14,04/10 04:24,-,Germany (Upcake22) EsportsvFrance (Kray) Esports,0-0
15,04/10 04:12,-,France (Kray) EsportsvBelgium (KRaftVK) Esports,0-1
16,04/10 04:12,-,Portugal (MeLToSiK) EsportsvGermany (Upcake22) Esports,1-0
17,04/10 04:00,-,Belgium (KRaftVK) EsportsvPortugal (MeLToSiK) Esports,0-0
