,Date,R,Casa v Visitante,-
7,03/25 07:58,-,Spartak Moscow (Arcos) EsportsvShakhtar Donetsk (KravaRK) Esports,2-2
8,03/25 07:57,-,CSKA Moscow (Hrusch) EsportsvDynamo Kyiv (vrico) Esports,1-2
9,03/25 07:55,-,Liverpool (nikkitta) EsportsvPSG (slezaintima) Esports,1-0
10,03/25 07:55,-,ManCity (orlovsky1) EsportsvBarcelona (DangerDim77) Esports,4-2
11,03/25 07:55,-,Man United (slezaintima) EsportsvMan City (nikkitta) Esports,1-2
12,03/25 07:55,-,Liverpool (DangerDim77) EsportsvMan United (slezaintima) Esports,2-2
13,03/25 07:47,-,Dynamo Kyiv (vrico) EsportsvSpartak Moscow (Arcos) Esports,0-2
14,03/25 07:47,-,Shakhtar Donetsk (KravaRK) EsportsvLokomotiv Moscow (LaikingDast) Esports,1-1
15,03/25 07:45,-,Barcelona (DangerDim77) EsportsvReal Madrid (dm1trena) Esports,3-4
16,03/25 07:44,-,PSG (slezaintima) EsportsvManCity (orlovsky1) Esports,1-2
17,03/25 07:37,-,Lokomotiv Moscow (LaikingDast) EsportsvDynamo Kyiv (vrico) Esports,0-0
18,03/25 07:37,-,Spartak Moscow (Arcos) EsportsvCSKA Moscow (Hrusch) Esports,0-0
19,03/25 07:34,-,ManCity (orlovsky1) EsportsvLiverpool (nikkitta) Esports,2-1
20,03/25 07:34,-,Real Madrid (dm1trena) EsportsvPSG (slezaintima) Esports,0-0
21,03/25 07:28,-,Lokomotiv Moscow (LaikingDast) EsportsvCSKA Moscow (Hrusch) Esports,0-3
22,03/25 07:12,-,Liverpool (nikkitta) EsportsvReal Madrid (dm1trena) Esports,0-0
23,03/25 07:06,-,CSKA Moscow (Hrusch) EsportsvShakhtar Donetsk (KravaRK) Esports,0-0
24,03/25 07:00,-,Real Madrid (dm1trena) EsportsvManCity (orlovsky1) Esports,1-2
25,03/25 07:00,-,Barcelona (DangerDim77) EsportsvLiverpool (nikkitta) Esports,0-2
26,03/25 06:54,-,Shakhtar Donetsk (KravaRK) EsportsvSpartak Moscow (Arcos) Esports,0-2
27,03/25 06:48,-,PSG (slezaintima) EsportsvLiverpool (nikkitta) Esports,1-1
28,03/25 06:48,-,Barcelona (DangerDim77) EsportsvManCity (orlovsky1) Esports,0-1
29,03/25 06:42,-,Spartak Moscow (Arcos) EsportsvDynamo Kyiv (vrico) Esports,2-2
0,03/25 09:54,-,M'Gladbach (Arcos) EsportsvDortmund (KravaRK) Esports,1-1
1,03/25 09:48,-,Arsenal (orlovsky1) EsportsvLiverpool (DangerDim77) Esports,0-3
2,03/25 09:42,-,Leverkusen (vrico) EsportsvM'Gladbach (Arcos) Esports,0-5
3,03/25 09:42,-,Dortmund (KravaRK) EsportsvBayern (LaikingDast) Esports,0-1
4,03/25 09:36,-,Liverpool (DangerDim77) EsportsvTottenham (dm1trena) Esports,2-2
5,03/25 09:36,-,Man United (slezaintima) EsportsvArsenal (orlovsky1) Esports,0-1
6,03/25 09:30,-,Bayern (LaikingDast) EsportsvLeverkusen (vrico) Esports,0-0
7,03/25 09:30,-,M'Gladbach (Arcos) EsportsvLeipzig (Hrusch) Esports,0-1
8,03/25 09:24,-,Tottenham (dm1trena) EsportsvMan United (slezaintima) Esports,0-3
9,03/25 09:24,-,Arsenal (orlovsky1) EsportsvMan City (nikkitta) Esports,0-0
10,03/25 09:18,-,Bayern (LaikingDast) EsportsvLeipzig (Hrusch) Esports,0-0
11,03/25 09:18,-,Dortmund (KravaRK) EsportsvLeverkusen (vrico) Esports,2-1
12,03/25 09:12,-,Man City (nikkitta) EsportsvTottenham (dm1trena) Esports,1-1
13,03/25 09:06,-,M'Gladbach (Arcos) EsportsvBayern (LaikingDast) Esports,1-1
14,03/25 09:06,-,Leipzig (Hrusch) EsportsvDortmund (KravaRK) Esports,3-0
15,03/25 09:01,-,Liverpool (DangerDim77) EsportsvMan City (nikkitta) Esports,0-3
16,03/25 09:01,-,Tottenham (dm1trena) EsportsvArsenal (orlovsky1) Esports,2-0
17,03/25 08:54,-,Dortmund (KravaRK) EsportsvM'Gladbach (Arcos) Esports,3-0
18,03/25 08:54,-,Leverkusen (vrico) EsportsvLeipzig (Hrusch) Esports,0-0
19,03/25 08:50,-,Liverpool (DangerDim77) EsportsvArsenal (orlovsky1) Esports,1-4
20,03/25 08:49,-,Man City (nikkitta) EsportsvMan United (slezaintima) Esports,2-0
